[2019-08-26 04:30:42] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=NzEyYzd3QjZXMmpiK2c4M0FjYVg5VnhrRWF5d0pSdThlWVpDcU1Fc0t4eVUrYnhhQmtHRjBnemx3Mm1mdVJXb24vdU5uNXp2ekxkZUszMUhlV3d0QnpNb3BTMmtDUzJSVjhhU0NZeGhJemxGUFE%3D&timestamp=1566765041117 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:59] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765298160 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:34:59] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765298160 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:05] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765304533 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:05] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=23&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765304533 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308583 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308583 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308572 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308572 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308563 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:10] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765308563 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:12] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311414 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:12] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311414 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:13] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311435 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:13] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311435 yoxwechatbusinessModel::set_user:END
[2019-08-26 04:35:13] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311426 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 04:35:13] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5FLVEYXjd3HRaCAY9LyyR_Y&mid=&merchid=&authkey=&timestamp=1566765311426 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:24:39] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878689 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:24:39] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878689 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878781 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878781 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878759 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878759 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878738 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:24:40] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789878738 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:24:41] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&authkey=&timestamp=1566789878634 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:24:41] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&authkey=&timestamp=1566789878634 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:07] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907358 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:07] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907358 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:08] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907375 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:08] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907375 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:08] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907426 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:08] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=YTIxZUptQTJnNmxwVUVzTnhkU1NQSU1vY3IydUNVdVMwVnZ0cUlIMWhhQzFwenl5di95N01oeHVJd0VKTy82YUM3MEI1eE1WSTRsNVZLeEJlNHFhQXF5WFd0TQ%3D%3D&timestamp=1566789907426 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909698 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909698 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909686 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909686 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909765 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:10] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789909765 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:11] trace  /app/ewei_shopv2_api.php?i=2&r=package.get_list&goodsid=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789910628 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:11] trace  /app/ewei_shopv2_api.php?i=2&r=package.get_list&goodsid=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789910628 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:11] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789910838 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:11] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789910838 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:14] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789913748 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:14] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789913748 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:25:20] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.user.my_info&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789920323 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:25:20] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.user.my_info&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789920323 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:26:02] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789961733 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:26:02] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789961733 yoxwechatbusinessModel::set_user:END
[2019-08-26 11:26:02] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789961764 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-26 11:26:02] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5F5cBG1J8QpI3JqxaC4A5kY&mid=&merchid=&authkey=&timestamp=1566789961764 yoxwechatbusinessModel::set_user:END
