[2019-07-20 00:06:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Ninbj6lI7wXJMKVuorPPoo&mid=&merchid=&authkey=MWQwY1BtV3dRbllmZmhaRHFtWjZBSHU0bmtiNzhyRllxcmg2d0lIWjNjVXJxcXVueEFNU3Y2U1pRRzNRNEY4S2ZqMWdPa29XaVlodEdZenNxMVRNc2YxdUpzWlJZVE95bkEvVEszNXpkS25Ma0E%3D&timestamp=1563552405838 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:21:24] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=YTgwZUd2d1lhemd1WVVIbm9nQUhZV2pPRm41bWlBRS9vQ2dzNXhtWmlvZUNJUzBJc3MvM0JGL25EQU0rY3JHTWN3QmFZYTRFb0tRUG9RMzZmejFCRHN5eUZMQQ%3D%3D&timestamp=1563564084641 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:21:24] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=YTgwZUd2d1lhemd1WVVIbm9nQUhZV2pPRm41bWlBRS9vQ2dzNXhtWmlvZUNJUzBJc3MvM0JGL25EQU0rY3JHTWN3QmFZYTRFb0tRUG9RMzZmejFCRHN5eUZMQQ%3D%3D&timestamp=1563564084641 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:21:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087497 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:21:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087497 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:21:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087508 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:21:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087508 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:21:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087503 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:21:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5Aqs9031iZEN_i2T1u_-6YQ&mid=&merchid=&authkey=NzQ0MXhGNGxLWWlzY2Naa09CajZhSFdBdXdjaFpRY0FhUWlleXN3R1NXckJCTXpDRWNIVXYrekoyaENiUWZ0bVFFMmd0V1BBTU9YMThxZ3Nsc1ByczgwOXJNMA%3D%3D&timestamp=1563564087503 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:19] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&authkey=OTY3NFd1L0Z3Z21sVytsSzdlMU42b1kwNUxkZVNlZGtRYWhoM1RsOXFMb0l0cndOTjRYcHFoZTNWWmhGMmY0by91Rk1iK2k1V2RiVit6TzA5Z291ako0Qy9Saw%3D%3D&timestamp=1563564139256 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:19] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&authkey=OTY3NFd1L0Z3Z21sVytsSzdlMU42b1kwNUxkZVNlZGtRYWhoM1RsOXFMb0l0cndOTjRYcHFoZTNWWmhGMmY0by91Rk1iK2k1V2RiVit6TzA5Z291ako0Qy9Saw%3D%3D&timestamp=1563564139256 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:19] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&authkey=NDJjZU04ZE1QOGgzK1ozdU5wNHVrSFhwSWh3RE9ZQUMxZU00NXB2TDhFZklPRWREQ1FHQkR4djF4OTdsMFM3elFFaUJPZExOc0tNZlZjQnluc2FMZ0VUZU5TTQ%3D%3D&timestamp=1563564139350 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:19] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&authkey=NDJjZU04ZE1QOGgzK1ozdU5wNHVrSFhwSWh3RE9ZQUMxZU00NXB2TDhFZklPRWREQ1FHQkR4djF4OTdsMFM3elFFaUJPZExOc0tNZlZjQnluc2FMZ0VUZU5TTQ%3D%3D&timestamp=1563564139350 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.notice.get_list&page=1&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564145065 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.notice.get_list&page=1&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564145065 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:32] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=6&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564151860 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:32] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=6&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564151860 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:32] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=6&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564151868 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:32] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=6&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564151868 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:38] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=7&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564158681 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:38] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=7&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564158681 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:39] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=7&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564158687 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:39] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=7&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564158687 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_category&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564165521 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_category&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564165521 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:22:52] trace  /app/ewei_shopv2_api.php?i=2&r=groups&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564172334 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:22:52] trace  /app/ewei_shopv2_api.php?i=2&r=groups&comefrom=wxapp&openid=sns_wa_oWJzS5NpjImDPtCTMqav_Az4SEdY&mid=&merchid=&authkey=&timestamp=1563564172334 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:46:43] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5OtBjlKeriptfszkCCi8Gu8&mid=&merchid=&authkey=MjgxOUdTMjZSN1gzWm83cktyMk9LTXNldlFxWFcxNUo0RG5NbkhPRWd1Y1ZwTE9YMjVadlFRQ050R3FDL2xmQ24ydlRFbHlYUm1TbHZXc1ZydlpickJnbkZnWQ%3D%3D&timestamp=1563565603032 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:46:43] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5OtBjlKeriptfszkCCi8Gu8&mid=&merchid=&authkey=MjgxOUdTMjZSN1gzWm83cktyMk9LTXNldlFxWFcxNUo0RG5NbkhPRWd1Y1ZwTE9YMjVadlFRQ050R3FDL2xmQ24ydlRFbHlYUm1TbHZXc1ZydlpickJnbkZnWQ%3D%3D&timestamp=1563565603032 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:46:43] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5OtBjlKeriptfszkCCi8Gu8&mid=&merchid=&authkey=YzVjYUx3RTQ2L1JDWWVFd3cxSHFDUnBhMUtTNVI5dnZDTWNOVDV3MTU5ck90OFJ2a1ZlR1VXRVB4STkrd1Erd3dUeUdwNHFaZFA3Ky9YZGorZFl4cE9MYW5kSQ%3D%3D&timestamp=1563565603170 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:46:43] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5OtBjlKeriptfszkCCi8Gu8&mid=&merchid=&authkey=YzVjYUx3RTQ2L1JDWWVFd3cxSHFDUnBhMUtTNVI5dnZDTWNOVDV3MTU5ck90OFJ2a1ZlR1VXRVB4STkrd1Erd3dUeUdwNHFaZFA3Ky9YZGorZFl4cE9MYW5kSQ%3D%3D&timestamp=1563565603170 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=NDZhMkZ2UVE1bmV6OGtVQ0ZtY3JYdVJYaWZlSXpMNE1YR04rOUlIYVdvVzhKaUFPME9LbmhVYUp2WEp5aTVndmtRQnRDVG5HYlp3NGd1b0ZGVHVpUElJd0Zpaw%3D%3D&timestamp=1563565995466 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=NDZhMkZ2UVE1bmV6OGtVQ0ZtY3JYdVJYaWZlSXpMNE1YR04rOUlIYVdvVzhKaUFPME9LbmhVYUp2WEp5aTVndmtRQnRDVG5HYlp3NGd1b0ZGVHVpUElJd0Zpaw%3D%3D&timestamp=1563565995466 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=ODU0NVJaZFdiS1Awam1LalcxcWxUWFNXeUs4NzNxdER5TkRjZ3ZRcFQ0cGpmWGJRay9NaHRiamQyYmpqVStwZ01Wekl5SEIyaTZNTENVeDVSS1Z4bVVvRzRWWQ%3D%3D&timestamp=1563565996020 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=ODU0NVJaZFdiS1Awam1LalcxcWxUWFNXeUs4NzNxdER5TkRjZ3ZRcFQ0cGpmWGJRay9NaHRiamQyYmpqVStwZ01Wekl5SEIyaTZNTENVeDVSS1Z4bVVvRzRWWQ%3D%3D&timestamp=1563565996020 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=MTAzOVE0ZmNqVjdXMEx2MnJCM1pBTEFxZDRhVjJpN3UwVklzcXp6SzJxOVdZeFZUY3ZLWjA5WEJBZ0pBNjVuMWhWK0wrK2oxTmxqTDNEV3p3S0tKWWNuTTVDYw%3D%3D&timestamp=1563565996079 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=MTAzOVE0ZmNqVjdXMEx2MnJCM1pBTEFxZDRhVjJpN3UwVklzcXp6SzJxOVdZeFZUY3ZLWjA5WEJBZ0pBNjVuMWhWK0wrK2oxTmxqTDNEV3p3S0tKWWNuTTVDYw%3D%3D&timestamp=1563565996079 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=MTAzOVE0ZmNqVjdXMEx2MnJCM1pBTEFxZDRhVjJpN3UwVklzcXp6SzJxOVdZeFZUY3ZLWjA5WEJBZ0pBNjVuMWhWK0wrK2oxTmxqTDNEV3p3S0tKWWNuTTVDYw%3D%3D&timestamp=1563565996087 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:16] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=MTAzOVE0ZmNqVjdXMEx2MnJCM1pBTEFxZDRhVjJpN3UwVklzcXp6SzJxOVdZeFZUY3ZLWjA5WEJBZ0pBNjVuMWhWK0wrK2oxTmxqTDNEV3p3S0tKWWNuTTVDYw%3D%3D&timestamp=1563565996087 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=NjE4MitVdmlXdUJMamNXOFNpc3I1U0lUd1Jpd0lpeEJaeHRnY090QU9DcnhsY1lUQzNHT2VncWNxNTV5d0ZKNTlkMnE3YXAySVlKeWpBTXB6L0x1VU1LRVJaaw%3D%3D&timestamp=1563565996470 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=NjE4MitVdmlXdUJMamNXOFNpc3I1U0lUd1Jpd0lpeEJaeHRnY090QU9DcnhsY1lUQzNHT2VncWNxNTV5d0ZKNTlkMnE3YXAySVlKeWpBTXB6L0x1VU1LRVJaaw%3D%3D&timestamp=1563565996470 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563565996995 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563565996995 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563565997381 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:17] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=44&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563565997381 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:20] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000590 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:20] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000590 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:20] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=50&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000611 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:20] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_detail&id=50&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000611 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:21] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000595 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-20 03:53:21] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=goodsdetail&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566000595 yoxwechatbusinessModel::set_user:END
[2019-07-20 03:53:28] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_comments&id=50&comefrom=wxapp&openid=sns_wa_oWJzS5Ax5EOdg881_pCQYRX1OP28&mid=&merchid=&authkey=&timestamp=1563566001179 yoxwechatbusinessModel::set_user:BEGIN
