[2019-06-20 08:37:50] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=MzZlN25qZEFEdjZoQUVvb2hNZ2FpQnI2ZS9pWVBMRWlGUktTODdNQ1RzeFRnUDVqV3hlelJhWUtadmNMRUl1OVNSK254TXJs&timestamp=1560991067513 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080153 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080352 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080422 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080509 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080492 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080523 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080938 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080904 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080876 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080948 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:38:04] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991080960 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:39:08] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=64&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991145433 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:39:20] trace  /app/ewei_shopv2_api.php?i=2&r=goods.get_picker&id=63&comefrom=wxapp&openid=sns_wa_oWJzS5K8ykbguJ0NvzDtdjEB9JIk&mid=&merchid=&authkey=&timestamp=1560991157052 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:43:29] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5HuXgCyYKhC5bwFouYYttsg&mid=&merchid=&authkey=NTI3ZlJIdmRNMk9wa0pFUXJKZ05ybHBJb0NYb09TUzhlZkVYZUxPa3BRWktnVVlSWVBKWkw4S1hWK2FCUU9Pc0xxQ1RSOWVh&timestamp=1560991407689 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 08:43:29] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5HuXgCyYKhC5bwFouYYttsg&mid=&merchid=&authkey=YzU4NzVPMy9MWmVHWGltRjhXM0haZFJBMkVqbVQxbFRSNGhPN0NkRnQ2aUVJeDQ3b2M1aG9DbDhoMHhlNzRBemtYYjgyRC9h&timestamp=1560991407768 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:53] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=ZGZhNkRNck1RVDhKTS9hVFA3YVBtZXBkQU13QW00MlB5MGJqQ1pOZ2pxQnNqdncwcFcxMnVDQllCd3c0SmcwZk5TS1gwYjlP&timestamp=1560992869554 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:53] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=ZGZhNkRNck1RVDhKTS9hVFA3YVBtZXBkQU13QW00MlB5MGJqQ1pOZ2pxQnNqdncwcFcxMnVDQllCd3c0SmcwZk5TS1gwYjlP&timestamp=1560992869592 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:55] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992871971 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:55] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872038 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:55] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872116 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:55] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872164 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:55] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872234 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:56] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872839 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:56] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872895 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:56] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872959 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:56] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992873012 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:07:56] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992872985 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:27] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_category&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992904231 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:38] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992914611 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:38] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992914637 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:38] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992914664 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:39] trace  /app/ewei_shopv2_api.php?i=2&r=groups&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992916405 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:46] trace  /app/ewei_shopv2_api.php?i=2&r=groups.team&success=&page=1&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992922885 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:47] trace  /app/ewei_shopv2_api.php?i=2&r=groups.order&status=&page=1&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992924413 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:49] trace  /app/ewei_shopv2_api.php?i=2&r=groups.list&timestamp=1560992925814 category=; page=1; comefrom=wxapp; openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU; mid=; merchid=; authkey=; 
yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:08:56] trace  /app/ewei_shopv2_api.php?i=2&r=seckill.get_list&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992932772 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:02] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992939380 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:02] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992939428 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992939548 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992939483 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:03] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992939618 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:17] trace  /app/ewei_shopv2_api.php?i=2&r=groups&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992953814 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:20] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992957034 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:20] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992957067 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:20] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992957130 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:26] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=6&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992962571 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:26] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=6&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992962629 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:32] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992969323 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:32] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992969400 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:32] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992969362 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:34] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&id=6&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992970625 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:34] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=6&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992970571 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:36] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992973391 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:36] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992973422 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:09:37] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5HL2-D3x9OaZrJpDWLJuVkU&mid=&merchid=&authkey=&timestamp=1560992973463 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:11] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MWM5NmlLeFRFbG52TDA4VWY2Qm9oajdXY0ZIWDVRSWhNeEE5OGZoZlpLbXpnaFpHLytpUE5NZG5wVGpDSzlwZDRpL1cvYnFIWUxrakpaeWNGTTYrbTJLVis3RzNIYWsrMmxLa09rak1JWG1RUEE%3D&timestamp=1560994568327 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MWM5NmlLeFRFbG52TDA4VWY2Qm9oajdXY0ZIWDVRSWhNeEE5OGZoZlpLbXpnaFpHLytpUE5NZG5wVGpDSzlwZDRpL1cvYnFIWUxrakpaeWNGTTYrbTJLVis3RzNIYWsrMmxLa09rak1JWG1RUEE%3D&timestamp=1560994568414 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:11] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&authkey=MWM5NmlLeFRFbG52TDA4VWY2Qm9oajdXY0ZIWDVRSWhNeEE5OGZoZlpLbXpnaFpHLytpUE5NZG5wVGpDSzlwZDRpL1cvYnFIWUxrakpaeWNGTTYrbTJLVis3RzNIYWsrMmxLa09rak1JWG1RUEE%3D&timestamp=1560994568239 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MWM5NmlLeFRFbG52TDA4VWY2Qm9oajdXY0ZIWDVRSWhNeEE5OGZoZlpLbXpnaFpHLytpUE5NZG5wVGpDSzlwZDRpL1cvYnFIWUxrakpaeWNGTTYrbTJLVis3RzNIYWsrMmxLa09rak1JWG1RUEE%3D&timestamp=1560994568440 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MWM5NmlLeFRFbG52TDA4VWY2Qm9oajdXY0ZIWDVRSWhNeEE5OGZoZlpLbXpnaFpHLytpUE5NZG5wVGpDSzlwZDRpL1cvYnFIWUxrakpaeWNGTTYrbTJLVis3RzNIYWsrMmxLa09rak1JWG1RUEE%3D&timestamp=1560994568470 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:17] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MGU4NlgvOFFjQ2tIK0x5OE1sSTdGeG9rSlBwV0J1eTE1UERCK2xURXpZQlExVHN1c0piRmlQRkFEdUJicWZpL1RSMnBVYTdSYWY2dkQ3TTFsdFpuMmd5OXZhL2N0a3lUdXFXT01tanduaWQxZ3c%3D&timestamp=1560994574588 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:18] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MGU4NlgvOFFjQ2tIK0x5OE1sSTdGeG9rSlBwV0J1eTE1UERCK2xURXpZQlExVHN1c0piRmlQRkFEdUJicWZpL1RSMnBVYTdSYWY2dkQ3TTFsdFpuMmd5OXZhL2N0a3lUdXFXT01tanduaWQxZ3c%3D&timestamp=1560994574689 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MGU4NlgvOFFjQ2tIK0x5OE1sSTdGeG9rSlBwV0J1eTE1UERCK2xURXpZQlExVHN1c0piRmlQRkFEdUJicWZpL1RSMnBVYTdSYWY2dkQ3TTFsdFpuMmd5OXZhL2N0a3lUdXFXT01tanduaWQxZ3c%3D&timestamp=1560994574805 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MGU4NlgvOFFjQ2tIK0x5OE1sSTdGeG9rSlBwV0J1eTE1UERCK2xURXpZQlExVHN1c0piRmlQRkFEdUJicWZpL1RSMnBVYTdSYWY2dkQ3TTFsdFpuMmd5OXZhL2N0a3lUdXFXT01tanduaWQxZ3c%3D&timestamp=1560994574850 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:18] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=MGU4NlgvOFFjQ2tIK0x5OE1sSTdGeG9rSlBwV0J1eTE1UERCK2xURXpZQlExVHN1c0piRmlQRkFEdUJicWZpL1RSMnBVYTdSYWY2dkQ3TTFsdFpuMmd5OXZhL2N0a3lUdXFXT01tanduaWQxZ3c%3D&timestamp=1560994574899 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:31] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=&timestamp=1560994587586 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:31] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=&timestamp=1560994587613 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:38] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.certificate.certificate_list&isajax=1&page=1&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&merchid=&authkey=&timestamp=1560994595240 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:36:51] trace  /app/ewei_shopv2_api.php?i=2&r=order.get_list&page=1&status=2&merchid=&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&authkey=&timestamp=1560994608195 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-20 09:37:02] trace  /app/ewei_shopv2_api.php?i=2&r=order.get_list&page=1&status=&merchid=&comefrom=wxapp&openid=sns_wa_oWJzS5MDumWi_KoLAoXsDuqDD08E&mid=&authkey=&timestamp=1560994618681 yoxwechatbusinessModel::set_user:BEGIN
