[2019-08-23 14:48:09] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542886798 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905682 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:28] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542905682 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:29] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.commission.count&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542907701 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:29] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness.commission.count&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542907701 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922499 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922499 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922459 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922459 yoxwechatbusinessModel::set_user:END
[2019-08-23 14:48:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922483 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 14:48:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5CM3_BIbDDk8oGGV5xnPLGA&mid=&merchid=&authkey=&timestamp=1566542922483 yoxwechatbusinessModel::set_user:END
[2019-08-23 15:48:58] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537241 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 15:48:58] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537241 yoxwechatbusinessModel::set_user:END
[2019-08-23 15:48:59] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537085 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 15:48:59] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537085 yoxwechatbusinessModel::set_user:END
[2019-08-23 15:48:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537227 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 15:48:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537227 yoxwechatbusinessModel::set_user:END
[2019-08-23 15:49:01] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537201 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 15:49:01] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537201 yoxwechatbusinessModel::set_user:END
[2019-08-23 15:49:01] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537148 yoxwechatbusinessModel::set_user:BEGIN
[2019-08-23 15:49:01] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5MInDZYlJo0Nxm8LF19Jum4&mid=&merchid=&authkey=ZWFiZUovelp5RUZiRmhkY1k4MnZ0S1J2OFR5dDV3Y3pEaGhHYUJYdnR1aUpjUXNoZk1KdVpWQW1lZ3h3VndLcUZvL3V1R3hrYXN5RlFuRnk2RDU2dzBtVmd1cw%3D%3D&timestamp=1566546537148 yoxwechatbusinessModel::set_user:END
