[2019-06-18 00:37:15] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=YzViOFhYWjJqOFdKMjkzRTczQTFXMFNGRXdoNkJsa0s4ZjhzcTZpaDl4eGZpSzMxYzZlcmI5YmhNYUNhVnpvR0xaZzd1RTU4&timestamp=1560789437375 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:44] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789585885 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:45] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789586080 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789586149 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:45] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789586111 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789586160 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:45] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=NThhMTFhY3huOGZkQTJ0RHhjb2pHRk1CaFdHaG9YbXU4RlFDVUVJSHBXemNIUDR0TUsrQnk1UlhrMk0wdVBLeWlFOWNSdnZ5NmpTMzBqUFM0Nm0rdDBWUU1rRQ%3D%3D&timestamp=1560789586171 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789586540 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789586595 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789586561 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587094 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789586586 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789586605 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:46] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587117 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587144 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587157 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587650 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587166 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587695 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587670 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588108 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587714 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:47] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789587705 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:48] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588131 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:48] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588173 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:48] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588610 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:48] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588186 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588661 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588637 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588671 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:48] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588198 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789588680 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589080 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589142 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589104 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589528 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589153 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589550 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:49] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589133 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589580 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589589 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789589599 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:50] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590246 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:51] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590265 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:51] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590293 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:51] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590302 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:51] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590313 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590628 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590646 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590672 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590680 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789590690 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591116 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591166 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591138 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591176 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:52] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591186 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591571 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591590 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591617 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591626 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592052 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592030 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789591636 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:54] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592897 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592097 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592088 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:53] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592078 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:54] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592915 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:54] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592942 yoxwechatbusinessModel::set_user:BEGIN
[2019-06-18 00:39:54] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5BPMwIrl7Osnul3p9CK-DEE&mid=&merchid=&authkey=&timestamp=1560789592954 yoxwechatbusinessModel::set_user:BEGIN
