[2019-07-26 09:05:03] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5AqK5fXwChfll8RgA0GTRF4&authkey=ZWNlMkNQWkx4dTV5OERQeVloWDcvaUNRWnRMdTVLR1BOc0VNYVBnL0lqcENOWWZHUmsxQWMxMDFNTUtGWExJNlROcjN6WEJBMXNZMXhqeEZYVWNTZHVaRkRzNXhWZmRWaEU5RWhFZE8rK2xkQ3c%3D&timestamp=1564103084880 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103350684 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103350684 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:09:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103350766 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:11] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103350766 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&authkey=&timestamp=1564103395826 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&authkey=&timestamp=1564103395826 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395854 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395854 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395864 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395864 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395847 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:09:59] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395847 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:00] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395866 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:00] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103395866 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:15] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=ODkyMXpCdXk5RXAvY2JOS1dpU2FaWTNiQUhyYkkyaThnM3FqWHpyclZNcmgrTkxEc1A4aU50MTd1UGczTXNKNDBZWExDRUVDQVJZWmttQWlHeGlkb2Z3Y2hjYw%3D%3D&timestamp=1564103414282 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:15] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=ODkyMXpCdXk5RXAvY2JOS1dpU2FaWTNiQUhyYkkyaThnM3FqWHpyclZNcmgrTkxEc1A4aU50MTd1UGczTXNKNDBZWExDRUVDQVJZWmttQWlHeGlkb2Z3Y2hjYw%3D%3D&timestamp=1564103414282 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:15] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=ODkyMXpCdXk5RXAvY2JOS1dpU2FaWTNiQUhyYkkyaThnM3FqWHpyclZNcmgrTkxEc1A4aU50MTd1UGczTXNKNDBZWExDRUVDQVJZWmttQWlHeGlkb2Z3Y2hjYw%3D%3D&timestamp=1564103414287 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:15] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=ODkyMXpCdXk5RXAvY2JOS1dpU2FaWTNiQUhyYkkyaThnM3FqWHpyclZNcmgrTkxEc1A4aU50MTd1UGczTXNKNDBZWExDRUVDQVJZWmttQWlHeGlkb2Z3Y2hjYw%3D%3D&timestamp=1564103414287 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424762 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424762 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424802 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424802 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424803 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424803 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424800 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424800 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424795 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:25] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103424795 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:30] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103429420 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:30] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103429420 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:30] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103429417 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:30] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103429417 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:44] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=YjQ0N0pNN2g3dWRlbE8xdTZHclE2UGl5d0dIbWVBRElGL1pFNDBzeXZkOVZQSktXOG52Rm1ZUTFXWkhUTVVFNkN4a2hUcXNCakFZNWxZNjkyMjhOY2JOaXRpNA%3D%3D&timestamp=1564103443719 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:44] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=YjQ0N0pNN2g3dWRlbE8xdTZHclE2UGl5d0dIbWVBRElGL1pFNDBzeXZkOVZQSktXOG52Rm1ZUTFXWkhUTVVFNkN4a2hUcXNCakFZNWxZNjkyMjhOY2JOaXRpNA%3D%3D&timestamp=1564103443719 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:10:44] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=YjQ0N0pNN2g3dWRlbE8xdTZHclE2UGl5d0dIbWVBRElGL1pFNDBzeXZkOVZQSktXOG52Rm1ZUTFXWkhUTVVFNkN4a2hUcXNCakFZNWxZNjkyMjhOY2JOaXRpNA%3D%3D&timestamp=1564103443744 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:10:44] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=YjQ0N0pNN2g3dWRlbE8xdTZHclE2UGl5d0dIbWVBRElGL1pFNDBzeXZkOVZQSktXOG52Rm1ZUTFXWkhUTVVFNkN4a2hUcXNCakFZNWxZNjkyMjhOY2JOaXRpNA%3D%3D&timestamp=1564103443744 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:15:22] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Njk3MDk3SCt6eXp3ejUwckFROUF1TXR5d2hjd2tPYkluRVUwWkRndGJpckVKZzJYR2d3c3ZSL0oxQWdoNFhZeWc2WlFQak9U&timestamp=1564103722244 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:15:22] trace  /app/ewei_shopv2_api.php?i=2&r=cacheset&version=&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Njk3MDk3SCt6eXp3ejUwckFROUF1TXR5d2hjd2tPYkluRVUwWkRndGJpckVKZzJYR2d3c3ZSL0oxQWdoNFhZeWc2WlFQak9U&timestamp=1564103722244 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:15:35] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Yjg0OE1yMHd4Q3cxNFV3SXVEZDRLNGJVRnZhTWJQN3g5Q25aeWQ0YUpOYTduaWlrRVB1Ums2dSsvNFY4RWRKc1dMMkF2T1ZaTEl5eEdpbzJsb1NvZkNpbG03UkhlTTd2Z0pmVA%3D%3D&timestamp=1564103735269 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:15:35] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Yjg0OE1yMHd4Q3cxNFV3SXVEZDRLNGJVRnZhTWJQN3g5Q25aeWQ0YUpOYTduaWlrRVB1Ums2dSsvNFY4RWRKc1dMMkF2T1ZaTEl5eEdpbzJsb1NvZkNpbG03UkhlTTd2Z0pmVA%3D%3D&timestamp=1564103735269 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:15:35] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Yjg0OE1yMHd4Q3cxNFV3SXVEZDRLNGJVRnZhTWJQN3g5Q25aeWQ0YUpOYTduaWlrRVB1Ums2dSsvNFY4RWRKc1dMMkF2T1ZaTEl5eEdpbzJsb1NvZkNpbG03UkhlTTd2Z0pmVA%3D%3D&timestamp=1564103735321 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:15:35] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=Yjg0OE1yMHd4Q3cxNFV3SXVEZDRLNGJVRnZhTWJQN3g5Q25aeWQ0YUpOYTduaWlrRVB1Ums2dSsvNFY4RWRKc1dMMkF2T1ZaTEl5eEdpbzJsb1NvZkNpbG03UkhlTTd2Z0pmVA%3D%3D&timestamp=1564103735321 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784659 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784659 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784732 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784732 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784948 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784948 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784972 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784972 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784999 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:25] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103784999 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:29] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103788864 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:29] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103788864 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:29] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103788886 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:29] trace  /app/ewei_shopv2_api.php?i=2&r=bargain.act&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103788886 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:42] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802345 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:42] trace  /app/ewei_shopv2_api.php?i=2&r=black&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802345 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802596 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=diypage&type=home&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802596 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802672 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_shopindex&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802672 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802701 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_hasnewcoupon&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802701 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802740 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:43] trace  /app/ewei_shopv2_api.php?i=2&r=shop.get_cpinfos&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103802740 yoxwechatbusinessModel::set_user:END
[2019-07-26 09:16:56] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103816186 yoxwechatbusinessModel::set_user:BEGIN
[2019-07-26 09:16:56] trace  /app/ewei_shopv2_api.php?i=2&r=yoxwechatbusiness&isajax=1&comefrom=wxapp&openid=sns_wa_oWJzS5E6FV0vFTKNh9Sr-s7BSShg&mid=&merchid=&authkey=&timestamp=1564103816186 yoxwechatbusinessModel::set_user:END
